bairro_nome,Cidade,Pais,Endereco_Completo,Endereco_Completo_final,latitude,longitude
Nações,ITAJUBÁ,BRASIL,"Nações,ITAJUBÁ,BRASIL,Nações,ITAJUBÁ,BRASIL","Condomínio das Nações, Bairro das Nações, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, Brasil","-22,43250055000000","-45,49107962429180"
Nossa Senhora da Agonia,ITAJUBÁ,BRASIL,"Nossa Senhora da Agonia,ITAJUBÁ,BRASIL,Nossa Senhora da Agonia,ITAJUBÁ,BRASIL","Deck Only Brasil, Acesso ao Parque Municipal de Itajubá, Nossa Senhora da Agonia, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37500-224, Brasil","-22,40927260000000","-45,43625150000000"
Nossa Senhora de Fátima,ITAJUBÁ,BRASIL,"Nossa Senhora de Fátima,ITAJUBÁ,BRASIL,Nossa Senhora de Fátima,ITAJUBÁ,BRASIL",,"-22,44158360000000","45,44258620000000"
Novo Horizonte,ITAJUBÁ,BRASIL,"Novo Horizonte,ITAJUBÁ,BRASIL,Novo Horizonte,ITAJUBÁ,BRASIL",,"-22,41413830000000","-45,51331680000000"
Oriente,ITAJUBÁ,BRASIL,"Oriente,ITAJUBÁ,BRASIL,Oriente,ITAJUBÁ,BRASIL","Hotel Oriente, 195, Rua Miguel Braga, Centro, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37500-028, Brasil","-22,42559520000000","-45,45969430000000"
Pedra Preta,ITAJUBÁ,BRASIL,"Pedra Preta,ITAJUBÁ,BRASIL,Pedra Preta,ITAJUBÁ,BRASIL","Córrego da Pedra Preta, Pedra Preta, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37501-338, Brasil","-22,47627930000000","-45,40423760000000"
Piedade,ITAJUBÁ,BRASIL,"Piedade,ITAJUBÁ,BRASIL,Piedade,ITAJUBÁ,BRASIL","Avenida Nossa Senhora da Piedade, Nossa Senhora da Piedade, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37503-404, Brasil","-22,44495540000000","-45,48791540000000"
Pinheirinho,ITAJUBÁ,BRASIL,"Pinheirinho,ITAJUBÁ,BRASIL,Pinheirinho,ITAJUBÁ,BRASIL","Lago Pinheirinho, Pinheirinho, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, Brasil","-22,40962635000000","-45,45209150412140"
Porto Velho,ITAJUBÁ,BRASIL,"Porto Velho,ITAJUBÁ,BRASIL,Porto Velho,ITAJUBÁ,BRASIL","Rua Vital Brasil, São Vicente, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37500-028, Brasil","-22,43361360000000","-45,45854740000000"
Rebourgeon,ITAJUBÁ,BRASIL,"Rebourgeon,ITAJUBÁ,BRASIL,Rebourgeon,ITAJUBÁ,BRASIL","Rua Monsenhor Rebourgeon, Jardim Bernadete, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37503-404, Brasil","-22,44068540000000","-45,47458470000000"
Santa Luzia,ITAJUBÁ,BRASIL,"Santa Luzia,ITAJUBÁ,BRASIL,Santa Luzia,ITAJUBÁ,BRASIL","Rua Santa Rita de Cássia, Avenida, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37500-028, Brasil","-22,42676340000000","-45,46058420000000"
Santa Rita de Cássia,ITAJUBÁ,BRASIL,"Santa Rita de Cássia,ITAJUBÁ,BRASIL,Santa Rita de Cássia,ITAJUBÁ,BRASIL",,"-22,43811430000000","-45,44153980000000"
Santa Rosa,ITAJUBÁ,BRASIL,"Santa Rosa,ITAJUBÁ,BRASIL,Santa Rosa,ITAJUBÁ,BRASIL","Padroeira Santa Teresinha do Menino Jesus, Avenida Coronel Aventino Ribeiro, Imbel, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37501-338, Brasil","-22,44026045000000","-45,43071458236970"
Santo Antônio,ITAJUBÁ,BRASIL,"Santo Antônio,ITAJUBÁ,BRASIL,Santo Antônio,ITAJUBÁ,BRASIL","Praça Santo Antônio, Santo Antônio, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, Brasil","-22,43628785000000","-45,46578527750650"
Santos Dumont,ITAJUBÁ,BRASIL,"Santos Dumont,ITAJUBÁ,BRASIL,Santos Dumont,ITAJUBÁ,BRASIL","Rua Santos Dumont, Distrito Industrial, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, Brasil","-22,42810900000000","-45,47841276845540"
São Judas Tadeu,ITAJUBÁ,BRASIL,"São Judas Tadeu,ITAJUBÁ,BRASIL,São Judas Tadeu,ITAJUBÁ,BRASIL","Rua Vital Brasil, São Vicente, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37500-028, Brasil","-22,43361360000000","-45,45854740000000"
São Pedro,ITAJUBÁ,BRASIL,"São Pedro,ITAJUBÁ,BRASIL,São Pedro,ITAJUBÁ,BRASIL","São Pedro, Fazenda São Pedro, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37512-000, Brasil","-22,51087200000000","-45,39797550000000"
São Sebastião,ITAJUBÁ,BRASIL,"São Sebastião,ITAJUBÁ,BRASIL,São Sebastião,ITAJUBÁ,BRASIL","Estrada São Sebastião, São Sebastião, Gonçalves, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37680-000, Brasil","-22,69133290000000","-45,85098900000000"
São Vicente,ITAJUBÁ,BRASIL,"São Vicente,ITAJUBÁ,BRASIL,São Vicente,ITAJUBÁ,BRASIL","Avenida São Vicente de Paulo, Medicina, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37501-042, Brasil","-22,43407040000000","-45,45426760000000"
Serra dos Toledos,ITAJUBÁ,BRASIL,"Serra dos Toledos,ITAJUBÁ,BRASIL,Serra dos Toledos,ITAJUBÁ,BRASIL",,"-22,42545890000000","-45,38550100000000"
Varginha,ITAJUBÁ,BRASIL,"Varginha,ITAJUBÁ,BRASIL,Varginha,ITAJUBÁ,BRASIL","Ferro Velho Varginha, Vila Zeca Faria, Varginha, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, Brasil","-22,42894865000000","-45,44153334776230"
Vila Betel,ITAJUBÁ,BRASIL,"Vila Betel,ITAJUBÁ,BRASIL,Vila Betel,ITAJUBÁ,BRASIL","Vila Lourenço Luiz, Santa Isabel, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37500-090, Brasil","-22,41732540000000","-45,46507560000000"
Vila Isabel,ITAJUBÁ,BRASIL,"Vila Isabel,ITAJUBÁ,BRASIL,Vila Isabel,ITAJUBÁ,BRASIL","Vila Lourenço Luiz, Santa Isabel, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37500-090, Brasil","-22,41732540000000","-45,46507560000000"
Vila Poddis,ITAJUBÁ,BRASIL,"Vila Poddis,ITAJUBÁ,BRASIL,Vila Poddis,ITAJUBÁ,BRASIL","Vila Santo Antônio, São Vicente, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37500-028, Brasil","-22,42814960000000","-45,45866540000000"
Vila Rubens,ITAJUBÁ,BRASIL,"Vila Rubens,ITAJUBÁ,BRASIL,Vila Rubens,ITAJUBÁ,BRASIL","Vila Lourenço Luiz, Santa Isabel, Itajubá, Região Geográfica Imediata de Itajubá, Região Geográfica Intermediária de Pouso Alegre, Minas Gerais, Região Sudeste, 37500-090, Brasil","-22,41732540000000","-45,46507560000000"
